date,product_category,product_name,region,units_sold,revenue,cost,customer_rating,promotion,channel
2024-01-15,电子产品,智能手机A,华东,120,360000,240000,4.5,true,线上
2024-01-16,家居用品,智能台灯,华南,85,42500,25500,4.2,false,线下
2024-01-17,电子产品,无线耳机,华北,200,120000,72000,4.8,true,线上
2024-01-18,服装,运动T恤,华东,350,52500,31500,4.0,false,线下
2024-01-19,食品,有机坚果礼盒,华南,150,45000,27000,4.6,true,线上
2024-01-20,电子产品,平板电脑,华北,80,240000,160000,4.3,false,线上
2024-01-21,家居用品,空气净化器,华东,65,97500,58500,4.7,true,线上
2024-01-22,服装,休闲裤,华南,280,56000,33600,3.9,false,线下
2024-01-23,电子产品,智能手表,华北,150,180000,108000,4.4,true,线上
2024-01-24,食品,进口巧克力,华东,200,40000,24000,4.5,false,线上
2024-01-25,电子产品,蓝牙音箱,华南,180,54000,32400,4.1,true,线下
2024-01-26,家居用品,扫地机器人,华北,45,135000,81000,4.9,false,线上
2024-01-27,服装,羽绒服,华东,400,320000,192000,4.6,true,线下
2024-01-28,食品,健康燕麦,华南,250,37500,22500,4.2,false,线上
2024-01-29,电子产品,笔记本电脑,华北,60,360000,216000,4.7,true,线上
2024-01-30,家居用品,加湿器,华东,120,36000,21600,3.8,false,线下
2024-01-31,服装,连衣裙,华南,300,90000,54000,4.3,true,线上
2024-02-01,食品,即食燕窝,华北,80,64000,38400,4.8,false,线上
2024-02-02,电子产品,游戏手柄,华东,220,66000,39600,4.0,true,线下
2024-02-03,家居用品,电热水壶,华南,160,32000,19200,4.4,false,线上
2024-02-04,服装,运动鞋,华北,380,190000,114000,4.5,true,线上
2024-02-05,食品,有机茶叶,华东,180,54000,32400,4.6,false,线下
2024-02-06,电子产品,显示器,华南,90,135000,81000,4.2,true,线上
2024-02-07,家居用品,电压力锅,华北,110,55000,33000,4.1,false,线上
2024-02-08,服装,羊毛衫,华东,250,125000,75000,4.7,true,线下
2024-02-09,食品,进口红酒,华南,70,105000,63000,4.8,false,线上
2024-02-10,电子产品,键盘鼠标套装,华北,200,40000,24000,4.3,true,线上
2024-02-11,家居用品,四件套,华东,140,56000,33600,4.0,false,线下
2024-02-12,服装,牛仔裤,华南,320,64000,38400,4.4,true,线上
2024-02-13,食品,坚果大礼包,华北,200,60000,36000,4.5,false,线上
2024-02-14,电子产品,路由器,华东,180,54000,32400,4.1,true,线下
2024-02-15,家居用品,智能马桶盖,华南,30,45000,27000,4.9,false,线上
2024-02-16,服装,风衣,华北,220,154000,92400,4.6,true,线上
2024-02-17,食品,蜂蜜礼盒,华东,150,60000,36000,4.7,false,线下
2024-02-18,电子产品,移动电源,华南,300,45000,27000,4.2,true,线上
2024-02-19,家居用品,智能门锁,华北,50,100000,60000,4.8,false,线上
2024-02-20,服装,西装,华东,180,270000,162000,4.5,true,线下
2024-02-21,食品,燕窝礼盒,华南,60,96000,57600,4.9,false,线上
2024-02-22,电子产品,智能摄像头,华北,120,36000,21600,4.0,true,线上
2024-02-23,家居用品,破壁机,华东,90,36000,21600,4.3,false,线下
2024-02-24,服装,皮夹克,华南,150,120000,72000,4.7,true,线上
